,text,label,sents,clean_text,words
0,排了蛮久 味道不错 不太好找 还会去,0,['排了蛮久 味道不错 不太好找 还会去'],排了蛮久味道不错不太好找还会去,"['排', '了', '蛮', '久', '味道', '不错', '不太好', '找', '还', '会', '去']"
1,咖喱很好吃，尤其是温泉蛋咖喱，就是麻婆茄子的量太少，不管是多大份，量都是一样的,0,['咖喱很好吃，尤其是温泉蛋咖喱，就是麻婆茄子的量太少，不管是多大份，量都是一样的'],咖喱很好吃尤其是温泉蛋咖喱就是麻婆茄子的量太少不管是多大份量都是一样的,"['咖喱', '很', '好吃', '尤其', '是', '温泉', '蛋', '咖喱', '就是', '麻婆', '茄子', '的', '量', '太少', '不管', '是', '多', '大', '份量', '都', '是', '一样', '的']"
2,环境很整洁，就是一楼很热，馄饨的量也很足,0,['环境很整洁，就是一楼很热，馄饨的量也很足'],环境很整洁就是一楼很热馄饨的量也很足,"['环境', '很', '整洁', '就是', '一楼', '很', '热', '馄饨', '的', '量', '也', '很', '足']"
3,很有特色的一家店～从外面电梯上去直接是几个露天的蒙古包 是有低消的 人均100貌似 里面环境也很好 去的时候人不多 吃到一半有歌舞表演 土豆粉/羊排味道都不错，本以为菜量很大结果很小 人均100够吃啦,0,['很有特色的一家店～从外面电梯上去直接是几个露天的蒙古包 是有低消的 人均100貌似 里面环境也很好 去的时候人不多 吃到一半有歌舞表演 土豆粉/羊排味道都不错，本以为菜量很大结果很小 人均100够吃啦'],很有特色的一家店从外面电梯上去直接是几个露天的蒙古包是有低消的人均貌似里面环境也很好去的时候人不多吃到一半有歌舞表演土豆粉羊排味道都不错本以为菜量很大结果很小人均够吃啦,"['很', '有', '特色', '的', '一家', '店', '从', '外面', '电梯', '上去', '直接', '是', '几个', '露天', '的', '蒙古包', '是', '有', '低消', '的', '人均', '貌似', '里面', '环境', '也', '很', '好', '去', '的', '时候', '人不多', '吃', '到', '一半', '有', '歌舞', '表演', '土豆粉', '羊排', '味道', '都', '不错', '本', '以为', '菜量', '很大', '结果', '很小', '人均', '够吃', '啦']"
4,牛蛙很大一盆 不过还是有点小贵 韭菜蛤蜊很好吃！海蜇头味道也不错,0,"['牛蛙很大一盆 不过还是有点小贵 韭菜蛤蜊很好吃！', '海蜇头味道也不错']",牛蛙很大一盆不过还是有点小贵韭菜蛤蜊很好吃海蜇头味道也不错,"['牛蛙', '很大', '一盆', '不过', '还是', '有点', '小贵', '韭菜', '蛤蜊', '很', '好吃', '海蜇头', '味道', '也', '不错']"
5,个人认为蛋糕不错。还有焗饭也好次。至于面什么的个人认为不好次。,0,"['个人认为蛋糕不错。', '还有焗饭也好次。', '至于面什么的个人认为不好次。']",个人认为蛋糕不错还有焗饭也好次至于面什么的个人认为不好次,"['个人', '认为', '蛋糕', '不错', '还有', '焗', '饭', '也好', '次', '至于', '面', '什么', '的', '个人', '认为', '不好', '次']"
6,环境和服务超级棒！但可能餐厅比较高档。口味独特。我不是很吃得惯。,0,"['环境和服务超级棒！', '但可能餐厅比较高档。', '口味独特。', '我不是很吃得惯。']",环境和服务超级棒但可能餐厅比较高档口味独特我不是很吃得惯,"['环境', '和', '服务', '超级', '棒', '但', '可能', '餐厅', '比较', '高档', '口味', '独特', '我', '不是', '很', '吃', '得惯']"
7,开在五角场人流量很大，看到网上有团购才去吃DQ的，味道很好，相比哈根达斯、爱西西里的，要性价比高一点,0,['开在五角场人流量很大，看到网上有团购才去吃DQ的，味道很好，相比哈根达斯、爱西西里的，要性价比高一点'],开在五角场人流量很大看到网上有团购才去吃的味道很好相比哈根达斯爱西西里的要性价比高一点,"['开', '在', '五角场', '人流量', '很大', '看到', '网上', '有', '团购', '才', '去', '吃', '的', '味道', '很', '好', '相比', '哈根达斯', '爱', '西西里', '的', '要', '性价比', '高', '一点']"
8,在平凉路的住宅区附近终于有了购物中心了，咖啡陪你就开在一楼，空间挺大的，也挺安静的，团购去吃刨冰，味道还行。,0,['在平凉路的住宅区附近终于有了购物中心了，咖啡陪你就开在一楼，空间挺大的，也挺安静的，团购去吃刨冰，味道还行。'],在平凉路的住宅区附近终于有了购物中心了咖啡陪你就开在一楼空间挺大的也挺安静的团购去吃刨冰味道还行,"['在', '平凉路', '的', '住宅区', '附近', '终于', '有', '了', '购物中心', '了', '咖啡', '陪', '你', '就', '开', '在', '一楼', '空间', '挺大', '的', '也', '挺', '安静', '的', '团购', '去', '吃', '刨冰', '味道', '还', '行']"
9,口味还不错，价格合理。就是店面比较小，用餐时间人流比较集中，经常没有位置，而且等餐时间也比较久。,0,"['口味还不错，价格合理。', '就是店面比较小，用餐时间人流比较集中，经常没有位置，而且等餐时间也比较久。']",口味还不错价格合理就是店面比较小用餐时间人流比较集中经常没有位置而且等餐时间也比较久,"['口味', '还', '不错', '价格合理', '就是', '店面', '比较', '小', '用餐', '时间', '人流', '比较', '集中', '经常', '没有', '位置', '而且', '等餐', '时间', '也', '比较', '久']"
